batch_id,model,parameters,processor,category,total_runs,count_failures,count_success,success_rate,R_efficiency,R_exponential,R_linear,R_robust,total_tokens_ave,total_tokens_mean,total_tokens_median,total_tokens_min,total_tokens_max,latency_ave,latency_mean,latency_median,latency_min,latency_max,test_date
phi4_1c64_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5379.0,5379.0,5379.0,5379,5379,35.8,35.8,35.8,35.8,35.8,08.18
phi4_1f18_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.45,19.45,19.45,19.45,19.45,08.19
phi4_1f8a_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5994.0,5994.0,5994.0,5994,5994,43.76,43.76,43.76,43.76,43.76,08.20
phi4_1f97_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.69,13.69,13.69,13.69,13.69,08.17
phi4_24b5_psg_batch,phi4,NP,psg,phi4_psg_NP,1,1,0,0.0,0.0,0.0,0.0,0.0,15162.0,15162.0,15162.0,15162,15162,109.43,109.43,109.43,109.43,109.43,08.20
phi4_2693_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2732.0,2732.0,2732.0,2732,2732,19.17,19.17,19.17,19.17,19.17,08.19
phi4_272f_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2245.0,2245.0,2245.0,2245,2245,13.56,13.56,13.56,13.56,13.56,08.19
phi4_2768_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2245.0,2245.0,2245.0,2245,2245,13.81,13.81,13.81,13.81,13.81,08.17
phi4_281d_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.48,19.48,19.48,19.48,19.48,08.17
phi4_281e_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2245.0,2245.0,2245.0,2245,2245,13.55,13.55,13.55,13.55,13.55,08.19
phi4_2b02_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.48,19.48,19.48,19.48,19.48,08.19
phi4_2b3a_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2245.0,2245.0,2245.0,2245,2245,13.76,13.76,13.76,13.76,13.76,08.17
phi4_2bb9_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2756.0,2756.0,2756.0,2756,2756,28.11,28.11,28.11,28.11,28.11,08.19
phi4_2cc6_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.49,13.49,13.49,13.49,13.49,08.19
phi4_2e64_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,25.0,22.313016014842983,39.99999999999999,60.0,11420.0,11420.0,11420.0,11420,11420,80.95,80.95,80.95,80.95,80.95,08.20
phi4_2e84_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,1,0,0.0,0.0,0.0,0.0,0.0,16519.0,16519.0,16519.0,16519,16519,131.27,131.27,131.27,131.27,131.27,08.18
phi4_2ec8_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2710.0,2710.0,2710.0,2710,2710,18.84,18.84,18.84,18.84,18.84,08.20
phi4_338e_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2757.0,2757.0,2757.0,2757,2757,19.65,19.65,19.65,19.65,19.65,08.17
phi4_3449_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,20.0,13.53352832366127,19.999999999999996,30.0,13625.0,13625.0,13625.0,13625,13625,80.47,80.47,80.47,80.47,80.47,08.18
phi4_3594_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2426.0,2426.0,2426.0,2426,2426,17.34,17.34,17.34,17.34,17.34,08.18
phi4_35e1_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2245.0,2245.0,2245.0,2245,2245,13.55,13.55,13.55,13.55,13.55,08.17
phi4_364c_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.7,19.7,19.7,19.7,19.7,08.19
phi4_3af0_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2245.0,2245.0,2245.0,2245,2245,13.56,13.56,13.56,13.56,13.56,08.19
phi4_3b22_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5728.0,5728.0,5728.0,5728,5728,38.69,38.69,38.69,38.69,38.69,08.18
phi4_3b43_psg_batch,phi4,P,psg,phi4_psg_P,30,0,30,100.0,100.0,100.0,100.0,100.0,2242.7,2242.7,2242.0,2242,2245,14.101333333333335,14.101333333333335,13.96,13.82,16.04,08.07
phi4_3b43_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,30,0,30,100.0,100.0,100.0,100.0,100.0,2749.4333333333334,2749.4333333333334,2750.0,2732,2787,21.476,21.476,20.119999999999997,19.68,59.68,08.07
phi4_3b81_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2675.0,2675.0,2675.0,2675,2675,18.08,18.08,18.08,18.08,18.08,08.18
phi4_3bae_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,20.0,13.53352832366127,19.999999999999996,30.0,15157.0,15157.0,15157.0,15157,15157,107.2,107.2,107.2,107.2,107.2,08.18
phi4_3be9_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2732.0,2732.0,2732.0,2732,2732,19.17,19.17,19.17,19.17,19.17,08.17
phi4_3c69_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.5,19.5,19.5,19.5,19.5,08.17
phi4_3e4a_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,20.0,13.53352832366127,19.999999999999996,30.0,14955.0,14955.0,14955.0,14955,14955,105.51,105.51,105.51,105.51,105.51,08.20
phi4_3ef5_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.5,13.5,13.5,13.5,13.5,08.19
phi4_420b_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,33.33333333333333,36.787944117144235,60.0,60.0,8148.0,8148.0,8148.0,8148,8148,51.03,51.03,51.03,51.03,51.03,08.20
phi4_425a_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.49,13.49,13.49,13.49,13.49,08.17
phi4_4269_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.51,13.51,13.51,13.51,13.51,08.19
phi4_4279_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2807.0,2807.0,2807.0,2807,2807,20.54,20.54,20.54,20.54,20.54,08.18
phi4_4309_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2706.0,2706.0,2706.0,2706,2706,18.64,18.64,18.64,18.64,18.64,08.20
phi4_4332_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.74,19.74,19.74,19.74,19.74,08.17
phi4_43b9_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2686.0,2686.0,2686.0,2686,2686,18.28,18.28,18.28,18.28,18.28,08.18
phi4_43be_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2732.0,2732.0,2732.0,2732,2732,19.12,19.12,19.12,19.12,19.12,08.19
phi4_4451_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,20.0,13.53352832366127,19.999999999999996,30.0,15330.0,15330.0,15330.0,15330,15330,108.95,108.95,108.95,108.95,108.95,08.20
phi4_44e1_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5818.0,5818.0,5818.0,5818,5818,40.61,40.61,40.61,40.61,40.61,08.18
phi4_458d_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,25.0,22.313016014842983,39.99999999999999,60.0,11710.0,11710.0,11710.0,11710,11710,81.45,81.45,81.45,81.45,81.45,08.18
phi4_46db_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2306.0,2306.0,2306.0,2306,2306,14.85,14.85,14.85,14.85,14.85,08.18
phi4_4936_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2245.0,2245.0,2245.0,2245,2245,13.58,13.58,13.58,13.58,13.58,08.19
phi4_4aca_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2622.0,2622.0,2622.0,2622,2622,17.14,17.14,17.14,17.14,17.14,08.18
phi4_4b15_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5115.0,5115.0,5115.0,5115,5115,30.64,30.64,30.64,30.64,30.64,08.20
phi4_4c25_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.5,13.5,13.5,13.5,13.5,08.19
phi4_4ffe_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.69,13.69,13.69,13.69,13.69,08.19
phi4_50aa_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,20.0,13.53352832366127,19.999999999999996,30.0,13625.0,13625.0,13625.0,13625,13625,80.47,80.47,80.47,80.47,80.47,08.20
phi4_51d6_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5334.0,5334.0,5334.0,5334,5334,34.89,34.89,34.89,34.89,34.89,08.20
phi4_51e8_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2245.0,2245.0,2245.0,2245,2245,13.56,13.56,13.56,13.56,13.56,08.17
phi4_529a_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,25.0,22.313016014842983,39.99999999999999,60.0,11420.0,11420.0,11420.0,11420,11420,80.95,80.95,80.95,80.95,80.95,08.18
phi4_52ff_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2732.0,2732.0,2732.0,2732,2732,19.1,19.1,19.1,19.1,19.1,08.17
phi4_53d5_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,33.33333333333333,36.787944117144235,60.0,60.0,8307.0,8307.0,8307.0,8307,8307,53.97,53.97,53.97,53.97,53.97,08.20
phi4_54ea_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,33.33333333333333,36.787944117144235,60.0,60.0,8331.0,8331.0,8331.0,8331,8331,54.55,54.55,54.55,54.55,54.55,08.20
phi4_56bd_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2499.0,2499.0,2499.0,2499,2499,14.7,14.7,14.7,14.7,14.7,08.20
phi4_5840_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.57,19.57,19.57,19.57,19.57,08.19
phi4_585c_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.51,13.51,13.51,13.51,13.51,08.19
phi4_5a16_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2757.0,2757.0,2757.0,2757,2757,19.58,19.58,19.58,19.58,19.58,08.17
phi4_5a30_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.53,13.53,13.53,13.53,13.53,08.17
phi4_5bff_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2732.0,2732.0,2732.0,2732,2732,19.12,19.12,19.12,19.12,19.12,08.19
phi4_5c2f_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,33.33333333333333,36.787944117144235,60.0,60.0,8591.0,8591.0,8591.0,8591,8591,59.36,59.36,59.36,59.36,59.36,08.18
phi4_5db3_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,33.33333333333333,36.787944117144235,60.0,60.0,8606.0,8606.0,8606.0,8606,8606,59.84,59.84,59.84,59.84,59.84,08.18
phi4_5f5b_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2499.0,2499.0,2499.0,2499,2499,14.7,14.7,14.7,14.7,14.7,08.18
phi4_5f63_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.53,13.53,13.53,13.53,13.53,08.19
phi4_5fab_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2675.0,2675.0,2675.0,2675,2675,18.08,18.08,18.08,18.08,18.08,08.20
phi4_61b1_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2552.0,2552.0,2552.0,2552,2552,15.72,15.72,15.72,15.72,15.72,08.20
phi4_62f1_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2646.0,2646.0,2646.0,2646,2646,17.52,17.52,17.52,17.52,17.52,08.20
phi4_6687_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.51,13.51,13.51,13.51,13.51,08.19
phi4_669d_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2634.0,2634.0,2634.0,2634,2634,17.53,17.53,17.53,17.53,17.53,08.20
phi4_694f_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5658.0,5658.0,5658.0,5658,5658,37.54,37.54,37.54,37.54,37.54,08.20
phi4_6abf_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,6148.0,6148.0,6148.0,6148,6148,46.59,46.59,46.59,46.59,46.59,08.18
phi4_6bb1_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.5,13.5,13.5,13.5,13.5,08.17
phi4_6be6_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2756.0,2756.0,2756.0,2756,2756,19.58,19.58,19.58,19.58,19.58,08.19
phi4_6d09_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5259.0,5259.0,5259.0,5259,5259,33.45,33.45,33.45,33.45,33.45,08.20
phi4_6d50_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2756.0,2756.0,2756.0,2756,2756,19.56,19.56,19.56,19.56,19.56,08.19
phi4_6dd0_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2268.0,2268.0,2268.0,2268,2268,14.03,14.03,14.03,14.03,14.03,08.18
phi4_6ea7_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2756.0,2756.0,2756.0,2756,2756,19.58,19.58,19.58,19.58,19.58,08.19
phi4_7025_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,20.0,13.53352832366127,19.999999999999996,30.0,14955.0,14955.0,14955.0,14955,14955,105.51,105.51,105.51,105.51,105.51,08.18
phi4_7427_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2756.0,2756.0,2756.0,2756,2756,19.6,19.6,19.6,19.6,19.6,08.17
phi4_746a_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2767.0,2767.0,2767.0,2767,2767,19.84,19.84,19.84,19.84,19.84,08.20
phi4_74f1_psg_batch,phi4,NP,psg,phi4_psg_NP,1,0,1,100.0,50.0,60.653065971263345,80.0,100.0,5115.0,5115.0,5115.0,5115,5115,30.64,30.64,30.64,30.64,30.64,08.18
phi4_7670_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2767.0,2767.0,2767.0,2767,2767,19.84,19.84,19.84,19.84,19.84,08.18
phi4_772d_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2612.0,2612.0,2612.0,2612,2612,16.88,16.88,16.88,16.88,16.88,08.20
phi4_77e6_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2756.0,2756.0,2756.0,2756,2756,19.56,19.56,19.56,19.56,19.56,08.17
phi4_78b8_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.74,19.74,19.74,19.74,19.74,08.19
phi4_7b63_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2757.0,2757.0,2757.0,2757,2757,19.58,19.58,19.58,19.58,19.58,08.19
phi4_7c58_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2242.0,2242.0,2242.0,2242,2242,13.51,13.51,13.51,13.51,13.51,08.17
phi4_7e4d_psg_batch,phi4,P,psg,phi4_psg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2245.0,2245.0,2245.0,2245,2245,13.57,13.57,13.57,13.57,13.57,08.19
phi4_7e7a_tpusg_batch,phi4,NP,tpusg,phi4_tpusg_NP,1,0,1,100.0,100.0,100.0,100.0,100.0,2605.0,2605.0,2605.0,2605,2605,16.72,16.72,16.72,16.72,16.72,08.18
phi4_7f49_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2750.0,2750.0,2750.0,2750,2750,19.47,19.47,19.47,19.47,19.47,08.19
phi4_7f5a_tpusg_batch,phi4,P,tpusg,phi4_tpusg_P,1,0,1,100.0,100.0,100.0,100.0,100.0,2757.0,2757.0,2757.0,2757,2757,19.61,19.61,19.61,19.61,19.61,08.17
