batch_id,model,parameters,processor,category,total_runs,count_failures,count_success,success_rate,R_efficiency,R_exponential,R_linear,R_robust,total_tokens_ave,total_tokens_mean,total_tokens_median,total_tokens_min,total_tokens_max,latency_ave,latency_mean,latency_median,latency_min,latency_max
qwen2.5-coder:32b_17ec_tpusg_batch,qwen2.5-coder:32b,NP,tpusg,qwen2.5-coder:32b_tpusg_NP,30,0,30,100.0,74.83333333333333,77.71449681533478,85.99999999999999,92.33333333333334,4823.9,4823.9,2693.0,2618,14870,45.913000000000004,45.913000000000004,25.5,23.42,142.17
qwen2.5-coder:32b_1974_psg_batch,qwen2.5-coder:32b,P,psg,qwen2.5-coder:32b_psg_P,30,17,13,43.333333333333336,9.666666666666668,7.62042647848956,12.666666666666663,18.999999999999996,13713.6,13713.6,13934.5,10941,16284,181.477,181.477,178.11,135.07,263.98
qwen2.5-coder:32b_1974_tpusg_batch,qwen2.5-coder:32b,P,tpusg,qwen2.5-coder:32b_tpusg_P,30,12,18,60.0,16.05555555555556,15.214998446543884,25.999999999999996,34.0,12908.266666666666,12908.266666666666,12456.0,8746,15898,179.65233333333333,179.65233333333333,181.39499999999998,115.81,236.94
qwen2.5-coder:32b_373e_psg_batch,qwen2.5-coder:32b,P,psg,qwen2.5-coder:32b_psg_P,30,18,12,40.0,10.777777777777779,9.91516021183286,14.66666666666666,19.666666666666664,13379.866666666667,13379.866666666667,14000.0,5099,16647,125.03,125.03,123.89,42.07,193.48
qwen2.5-coder:32b_373e_tpusg_batch,qwen2.5-coder:32b,P,tpusg,qwen2.5-coder:32b_tpusg_P,30,23,7,23.333333333333332,6.444444444444445,6.2584120479853595,10.0,11.0,14513.133333333333,14513.133333333333,15322.5,8963,15787,146.66066666666666,146.66066666666666,152.61,87.4,205.07
qwen2.5-coder:32b_4e11_tpusg_batch,qwen2.5-coder:32b,NP,tpusg,qwen2.5-coder:32b_tpusg_NP,11,0,11,100.0,82.57575757575756,83.61400237302277,89.0909090909091,92.72727272727272,4382.0,4382.0,2678.0,2596,12349,67.52272727272727,67.52272727272727,37.39,34.13,183.86
qwen2.5-coder:32b_57d5_psg_batch,qwen2.5-coder:32b,P,psg,qwen2.5-coder:32b_psg_P,30,20,10,33.33333333333333,7.944444444444445,6.749571249533474,11.333333333333332,15.999999999999998,13436.333333333334,13436.333333333334,13943.0,8010,17991,123.32366666666667,123.32366666666667,121.77000000000001,68.14,231.35
qwen2.5-coder:32b_5f8b_psg_batch,qwen2.5-coder:32b,NP,psg,qwen2.5-coder:32b_psg_NP,30,12,18,60.0,41.33333333333333,41.423666233323495,46.0,48.66666666666667,9201.3,9201.3,11461.0,2243,14789,83.49033333333334,83.49033333333334,107.065,18.41,143.62
qwen2.5-coder:32b_5f8b_tpusg_batch,qwen2.5-coder:32b,NP,tpusg,qwen2.5-coder:32b_tpusg_NP,30,1,29,96.66666666666667,73.6111111111111,77.54282286052945,85.99999999999999,94.0,4759.7,4759.7,2819.0,2570,15371,45.43866666666667,45.43866666666667,30.305,21.72,153.74
qwen2.5-coder:32b_6eca_psg_batch,qwen2.5-coder:32b,P,psg,qwen2.5-coder:32b_psg_P,30,0,30,100.0,100.0,100.0,100.0,100.0,2513.3,2513.3,2515.0,2503,2533,46.36866666666666,46.36866666666666,26.814999999999998,26.35,418.85
qwen2.5-coder:32b_aabd_psg_batch,qwen2.5-coder:32b,NP,psg,qwen2.5-coder:32b_psg_NP,30,8,22,73.33333333333333,69.44444444444444,69.91470033628026,71.33333333333333,72.00000000000001,5907.833333333333,5907.833333333333,2436.5,2291,14860,83.67433333333334,83.67433333333334,36.83,30.7,215.41
qwen2.5-coder:32b_ae24_tpusg_batch,qwen2.5-coder:32b,NP,tpusg,qwen2.5-coder:32b_tpusg_NP,19,2,17,89.47368421052632,60.08771929824561,62.26985264020372,71.57894736842105,78.94736842105263,6734.631578947368,6734.631578947368,5708.0,2587,15231,70.93947368421053,70.93947368421053,56.95,22.69,218.03
qwen2.5-coder:32b_c8a6_psg_batch,qwen2.5-coder:32b,P,psg,qwen2.5-coder:32b_psg_P,16,7,9,56.25,14.895833333333334,13.65713571422385,21.25,28.749999999999996,12492.0,12492.0,13910.5,5099,14243,108.2225,108.2225,119.675,42.08,128.62
qwen2.5-coder:32b_c8a6_tpusg_batch,qwen2.5-coder:32b,P,tpusg,qwen2.5-coder:32b_tpusg_P,30,21,9,30.0,8.833333333333334,9.003591245501031,14.666666666666666,15.999999999999998,14032.9,14032.9,15318.5,8976,16275,140.58233333333334,140.58233333333334,152.1,87.76,177.71
qwen2.5-coder:32b_ee11_psg_batch,qwen2.5-coder:32b,P,psg,qwen2.5-coder:32b_psg_P,30,20,10,33.33333333333333,7.277777777777778,5.578972890709246,8.666666666666666,11.999999999999998,13932.3,13932.3,14001.0,8031,16079,127.461,127.461,123.945,68.78,180.49
qwen2.5-coder:32b_ee11_tpusg_batch,qwen2.5-coder:32b,P,tpusg,qwen2.5-coder:32b_tpusg_P,30,22,8,26.666666666666668,6.722222222222222,6.037184041660041,10.0,13.0,14586.9,14586.9,15290.0,9079,15459,148.82866666666666,148.82866666666666,153.98000000000002,91.84,203.97
